"","V1","V2","V3","V4","V5","V6"
"400&MLE_{full}","0","0","0.05(0.02)","0","0","0.085(0.03)"
"&GLASSO","4.47","0.46","0.045(0.021)","2.97","1.61","0.079(0.029)"
"&GSCAD","5.85","0.51","0.043(0.021)","3.44","2.25","0.081(0.029)"
"&GMCP","7.29","1.15","0.041(0.02)","4.81","3.09","0.078(0.03)"
"&AGLASSO","6.15","0.57","0.043(0.021)","3.63","2.78","0.082(0.028)"
"&",NA,NA,NA,NA,NA,NA
"800&MLE_{full}","0","0","0.022(0.01)","0","0","0.059(0.016)"
"&GLASSO","3.74","0","0.021(0.01)","1.27","0.9","0.058(0.016)"
"&GSCAD","6.09","0.02","0.018(0.011)","1.79","1.85","0.058(0.017)"
"&GMCP","6.74","0.04","0.018(0.011)","2","2.22","0.059(0.017)"
"&AGLASSO","6.25","0.04","0.019(0.011)","1.85","1.88","0.059(0.017)"
"&",NA,NA,NA,NA,NA,NA
"1200&MLE_{full}","0","0","0.015(0.005)","0","0","0.05(0.015)"
"&GLASSO","3.77","0","0.014(0.006)","0.61","0.57","0.05(0.014)"
"&GSCAD","6.13","0","0.013(0.006)","1.01","1.77","0.052(0.014)"
"&GMCP","6.83","0","0.012(0.006)","1.23","2.11","0.052(0.013)"
"&AGLASSO","6.34","0","0.013(0.006)","0.98","1.76","0.052(0.013)"
