"","V1","V2","V3","V4","V5","V6"
"400&MLE_{full}","0","0","0.05(0.02)","0","0","0.085(0.03)"
"&GLASSO","8.61","2.2","0.041(0.018)","7.6","3.96","0.066(0.024)"
"&GSCAD","8.82","2.19","0.04(0.017)","7.64","3.97","0.065(0.024)"
"&GMCP","9.65","3.62","0.041(0.012)","9.02","4.84","0.058(0.022)"
"&AGLASSO","9.28","2.41","0.039(0.017)","8","4.36","0.066(0.024)"
"&",NA,NA,NA,NA,NA,NA
"800&MLE_{full}","0","0","0.022(0.01)","0","0","0.059(0.016)"
"&GLASSO","8.41","0.88","0.018(0.012)","6.24","3.58","0.054(0.015)"
"&GSCAD","8.95","0.88","0.017(0.012)","6.11","3.59","0.055(0.015)"
"&GMCP","9.39","1.08","0.017(0.013)","6.55","3.86","0.055(0.016)"
"&AGLASSO","9.4","1.06","0.017(0.011)","6.47","4.17","0.058(0.015)"
"&",NA,NA,NA,NA,NA,NA
"1200&MLE_{full}","0","0","0.015(0.005)","0","0","0.05(0.015)"
"&GLASSO","7.85","0.4","0.012(0.008)","5.1","3.05","0.048(0.013)"
"&GSCAD","8.89","0.4","0.01(0.008)","5.01","3.15","0.049(0.014)"
"&GMCP","9.39","0.48","0.01(0.008)","5.48","3.44","0.05(0.013)"
"&AGLASSO","9.48","0.44","0.009(0.008)","5.27","3.98","0.054(0.013)"
