"","V1","V2","V3","V4","V5","V6"
"400&MLE_{full}","0","0","0.05(0.02)","0","0","0.085(0.03)"
"&GLASSO","9.94","4.77","0.046(0.007)","9.85","4.94","0.05(0.014)"
"&GSCAD","9.94","4.77","0.046(0.007)","9.85","4.94","0.05(0.014)"
"&GMCP","9.96","4.79","0.046(0.005)","9.95","4.96","0.048(0.009)"
"&AGLASSO","9.98","4.76","0.046(0.006)","9.85","4.95","0.05(0.014)"
"&",NA,NA,NA,NA,NA,NA
"800&MLE_{full}","0","0","0.022(0.01)","0","0","0.059(0.016)"
"&GLASSO","9.96","4.2","0.039(0.009)","9.93","4.96","0.048(0.004)"
"&GSCAD","9.97","4.22","0.039(0.009)","9.93","4.96","0.048(0.004)"
"&GMCP","9.99","4.28","0.039(0.009)","9.93","4.97","0.048(0.004)"
"&AGLASSO","10","4.29","0.039(0.009)","9.93","4.97","0.048(0.004)"
"&",NA,NA,NA,NA,NA,NA
"1200&MLE_{full}","0","0","0.015(0.005)","0","0","0.05(0.015)"
"&GLASSO","9.97","3.46","0.03(0.01)","9.76","4.95","0.047(0.005)"
"&GSCAD","9.95","3.38","0.029(0.01)","9.76","4.95","0.047(0.005)"
"&GMCP","9.98","3.58","0.031(0.009)","9.76","4.95","0.047(0.005)"
"&AGLASSO","10","3.62","0.032(0.009)","9.76","4.95","0.047(0.005)"
