"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-128,-113,157,148,-69,-241,-233,298,288,-170
"",-84,-66,121,107,-23,-244,-236,307,297,-166
"",-80,-64,115,105,-28,-242,-231,305,295,-168
"",-96,-81,123,113,-47,-247,-238,304,293,-171
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-92,-79,122,128,-56,-225,-223,286,289,-166
"",-34,-19,65,70,-13,-238,-237,305,306,-167
"",-36,-21,68,72,-14,-236,-237,304,304,-166
"",-55,-40,81,87,-33,-235,-234,296,299,-170
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-74,-73,110,111,-42,-218,-225,291,294,-161
"",-18,-17,50,50,-5,-236,-244,319,319,-162
"",-20,-19,53,53,-6,-234,-242,318,318,-161
"",-40,-39,71,71,-20,-228,-236,310,311,-164
