"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-235,-226,296,294,-131,-286,-284,341,339,-191
"",-227,-217,288,284,-113,-285,-283,341,339,-190
"",-240,-228,306,299,-120,-296,-298,350,350,-191
"",-215,-204,281,276,-119,-289,-287,341,339,-191
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-192,-180,256,258,-106,-278,-277,341,339,-191
"",-173,-160,245,246,-75,-277,-275,342,340,-190
"",-168,-154,244,245,-75,-276,-274,343,341,-189
"",-162,-148,236,239,-89,-284,-281,343,341,-192
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-157,-155,221,225,-83,-266,-269,340,341,-186
"",-125,-125,209,211,-43,-268,-271,340,341,-184
"",-123,-122,205,208,-45,-266,-270,341,342,-184
"",-120,-118,195,199,-61,-277,-281,344,344,-187
