"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-183,-175,223,215,-104,-264,-256,319,310,-177
"",-164,-154,207,197,-79,-272,-267,319,322,-181
"",-182,-163,221,209,-89,-274,-273,328,325,-182
"",-168,-158,211,202,-95,-274,-266,333,328,-183
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-108,-95,145,150,-66,-229,-231,293,295,-167
"",-63,-47,103,106,-28,-238,-241,298,301,-170
"",-69,-52,106,112,-29,-237,-239,296,302,-164
"",-91,-74,124,132,-52,-243,-243,298,302,-168
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-87,-87,128,128,-49,-218,-225,287,292,-159
"",-32,-31,79,80,-11,-222,-235,295,303,-154
"",-40,-38,84,83,-11,-225,-228,294,302,-153
"",-61,-61,105,105,-31,-218,-224,287,290,-155
