"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-298,-298,350,350,-182,-299,-300,350,350,-198
"",-298,-298,350,350,-182,-299,-300,350,350,-198
"",-300,-300,350,350,-181,-300,-300,350,350,-198
"",-297,-297,350,350,-182,-299,-300,350,350,-199
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-292,-290,350,350,-171,-300,-300,350,350,-200
"",-292,-290,350,350,-170,-300,-300,350,350,-200
"",-292,-290,350,350,-167,-300,-300,350,350,-200
"",-291,-289,350,350,-170,-300,-300,350,350,-200
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-284,-284,347,347,-154,-300,-300,350,350,-198
"",-283,-283,346,346,-151,-300,-300,350,350,-198
"",-285,-285,347,347,-145,-300,-300,350,350,-198
"",-284,-284,347,348,-151,-300,-300,350,350,-198
