"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-23,-8,17,1,-5,-199,-193,249,237,-146
"",-21,-3,18,0,0,-212,-204,265,255,-153
"",-43,-23,63,47,-9,-225,-207,286,273,-156
"",-22,-3,23,7,-5,-220,-207,275,260,-158
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-8,5,6,16,-11,-196,-196,249,261,-148
"",-6,9,4,16,-6,-203,-203,258,264,-153
"",-6,7,8,16,-7,-207,-206,265,271,-154
"",-8,6,7,19,-9,-205,-205,256,265,-153
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-9,-8,22,17,-7,-201,-209,265,271,-145
"",-6,-6,19,15,-3,-204,-211,284,288,-149
"",-6,-6,19,17,-2,-206,-215,289,292,-151
"",-7,-6,18,16,-4,-204,-213,282,287,-150
