"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-99,-82,166,157,-48,-241,-231,314,298,-172
"",-101,-85,161,152,-46,-243,-229,308,295,-173
"",-211,-195,288,278,-64,-294,-296,350,350,-178
"",-110,-94,178,169,-47,-261,-250,325,315,-181
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-39,-22,83,78,-27,-227,-222,304,304,-172
"",-39,-19,81,76,-20,-224,-223,306,307,-172
"",-50,-29,95,92,-20,-231,-231,318,314,-175
"",-44,-24,99,97,-22,-250,-250,322,320,-181
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-22,-22,54,52,-15,-203,-211,308,311,-161
"",-20,-20,52,49,-8,-206,-215,311,314,-162
"",-20,-21,58,57,-8,-213,-222,317,319,-166
"",-17,-18,55,53,-7,-239,-251,330,330,-172
