"","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6","x.mV11","x.mV12","x.mV31","x.mV32","x.mV6"
"r0.400.full",-3,11,-3,-16,5,-209,-206,260,249,-144
"",-72,-56,94,78,-36,-234,-217,289,276,-161
"",-92,-74,131,119,-35,-244,-235,299,288,-170
"",-124,-97,160,142,-52,-252,-248,309,303,-174
"",-87,-80,126,113,-47,-262,-243,315,311,-171
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800.full",-6,8,3,15,-7,-203,-201,256,268,-148
"",-16,-4,26,30,-17,-203,-205,263,265,-152
"",-16,-2,26,33,-9,-213,-216,278,277,-162
"",-19,-6,36,42,-11,-219,-217,276,284,-159
"",-19,-4,35,42,-14,-230,-229,283,290,-160
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200.full",-5,-5,18,13,-4,-204,-211,268,272,-144
"",-11,-11,26,18,-10,-201,-209,265,272,-146
"",-9,-9,26,23,-3,-208,-218,282,289,-149
"",-13,-12,32,25,-4,-207,-216,288,296,-150
"",-12,-10,30,26,-5,-208,-213,278,282,-148
