,,\beta_{1\_1} ,\beta_{1\_2} , \beta_{3\_1} , \beta_{3\_2} , \beta_6,\beta_{1\_1} ,\beta_{1\_2} , \beta_{3\_1} , \beta_{3\_2} , \beta_6
n,method,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS
400,MLE,-3,143,11,161,-3,187,-16,218,5,83
,GLASSO,-183,112,-175,122,223,151,215,163,-104,75
,GSCAD,-164,167,-154,177,207,212,197,232,-79,111
,GMCP,-182,155,-163,172,221,190,209,219,-89,107
,AGLASSO,-168,141,-158,157,211,180,202,195,-95,98
,line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,MLE,-6,99,8,107,3,110,15,128,-7,60
,GLASSO,-108,90,-95,105,145,123,150,125,-66,54
,GSCAD,-63,131,-47,140,103,170,106,168,-28,70
,GMCP,-69,122,-52,132,106,157,112,161,-29,66
,AGLASSO,-91,108,-74,122,124,136,132,135,-52,62
,line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,MLE,-5,88,-5,77,18,98,13,107,-4,51
,GLASSO,-87,82,-87,75,128,105,128,106,-49,46
,GSCAD,-32,103,-31,99,79,141,80,141,-11,51
,GMCP,-40,103,-38,99,84,136,83,131,-11,48
,AGLASSO,-61,93,-61,88,105,122,105,120,-31,48
