"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","118","123(46)","132","126(47)","161","158(54)","174","164(56)","72","75(12)"
"","158","123(44)","175","127(45)","209","151(60)","228","157(62)","91","72(14)"
"","162","107(56)","176","110(57)","218","113(82)","232","116(84)","93","68(17)"
"","138","123(44)","152","126(45)","186","147(63)","202","153(65)","84","70(17)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","86","98(2)","97","100(3)","106","122(5)","112","127(5)","51","54(3)"
"","110","96(2)","122","98(3)","143","119(13)","148","124(13)","54","52(4)"
"","108","95(2)","121","98(3)","139","118(18)","145","122(18)","55","51(4)"
"","98","96(2)","110","98(3)","122","118(18)","131","122(18)","56","51(3)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","80","79(2)","74","80(2)","97","99(3)","97","102(3)","45","44(2)"
"","94","78(2)","87","79(2)","122","97(3)","122","101(3)","45","42(3)"
"","94","78(2)","88","79(2)","121","97(3)","120","100(3)","45","41(3)"
"","88","78(2)","82","79(2)","108","97(3)","108","101(3)","47","42(3)"
