"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","85","83(68)","97","85(70)","99","73(86)","109","75(89)","64","56(32)"
"","100","82(69)","113","84(70)","115","74(86)","129","77(89)","88","56(31)"
"","122","31(57)","141","31(58)","133","18(52)","154","19(54)","90","50(33)"
"","109","75(69)","123","77(70)","129","65(83)","141","67(87)","81","52(32)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","80","83(33)","87","86(33)","98","86(55)","97","89(57)","49","48(10)"
"","102","83(32)","113","85(33)","114","86(55)","116","89(57)","71","47(10)"
"","102","78(37)","113","80(38)","120","79(57)","122","82(59)","67","46(10)"
"","103","80(34)","114","83(35)","126","77(58)","125","79(60)","61","47(10)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","76","74(17)","73","75(17)","96","83(35)","95","86(36)","43","41(2)"
"","96","74(17)","92","75(17)","118","83(35)","115","86(36)","57","39(2)"
"","96","73(19)","92","74(19)","121","80(38)","117","82(39)","54","39(2)"
"","93","73(17)","90","74(17)","122","80(37)","119","83(38)","49","39(2)"
