"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","112","97(64)","122","100(66)","151","106(85)","163","110(89)","75","61(29)"
"","167","86(68)","177","88(70)","212","88(87)","232","92(91)","111","58(31)"
"","155","73(69)","172","75(71)","190","72(85)","219","74(88)","107","48(34)"
"","141","84(67)","157","86(69)","180","88(87)","195","91(90)","98","51(33)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","90","93(19)","105","95(20)","123","112(33)","125","116(35)","54","52(6)"
"","131","91(21)","140","94(22)","170","107(38)","168","111(40)","70","51(6)"
"","122","90(23)","132","92(24)","157","103(42)","161","107(44)","66","50(6)"
"","108","91(21)","122","93(22)","136","101(43)","135","105(45)","62","49(8)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","82","78(8)","75","79(8)","105","97(10)","106","101(11)","46","43(3)"
"","103","77(8)","99","78(8)","141","94(17)","141","98(18)","51","41(2)"
"","103","75(13)","99","76(14)","136","91(23)","131","94(24)","48","40(3)"
"","93","76(11)","88","77(11)","122","92(21)","120","95(22)","48","40(2)"
