"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","20","1(13)","15","1(14)","0","0(0)","0","0(0)","45","15(30)"
"","20","1(13)","15","1(14)","0","0(0)","0","0(0)","47","15(30)"
"","0","0(0)","0","0(0)","0","0(0)","0","0(0)","48","15(30)"
"","21","3(20)","18","3(20)","0","0(0)","0","0(0)","49","14(29)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","29","13(33)","32","13(34)","0","4(22)","0","4(23)","39","24(25)"
"","31","13(33)","35","13(34)","0","2(18)","0","3(19)","42","24(25)"
"","32","12(32)","35","12(33)","0","0(0)","0","0(0)","45","24(25)"
"","37","12(32)","41","12(33)","0","1(12)","0","1(13)","44","23(25)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","36","25(37)","37","25(37)","19","5(22)","17","5(23)","38","34(16)"
"","38","28(38)","38","28(39)","21","5(22)","19","5(23)","44","34(16)"
"","37","20(35)","38","20(35)","17","5(22)","15","5(23)","47","33(16)"
"","40","21(35)","41","22(36)","15","4(20)","12","4(20)","46","31(18)"
