"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","191","145(5)","200","148(7)","239","186(14)","260","192(13)","107","82(4)"
"","192","145(5)","199","148(7)","240","186(14)","259","192(12)","106","82(4)"
"","173","146(6)","197","150(7)","182","191(13)","211","197(12)","106","82(4)"
"","194","145(5)","204","149(7)","240","187(14)","261","193(12)","110","82(4)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","127","83(33)","134","86(33)","188","86(55)","194","89(57)","61","48(10)"
"","128","83(32)","138","85(33)","188","86(55)","195","89(57)","65","47(10)"
"","139","78(37)","149","80(38)","197","79(57)","202","82(59)","63","46(10)"
"","133","80(34)","141","83(35)","201","77(58)","206","79(60)","61","47(10)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","100","74(17)","95","75(17)","148","83(35)","151","86(36)","46","41(2)"
"","101","74(17)","95","75(17)","148","83(35)","150","86(36)","48","39(2)"
"","104","73(19)","99","74(19)","157","80(38)","157","82(39)","46","39(2)"
"","100","73(17)","95","74(17)","154","80(37)","156","83(38)","44","39(2)"
