"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","182","145(5)","194","148(6)","240","183(12)","262","190(11)","102","82(4)"
"","193","145(5)","203","149(7)","251","185(13)","274","191(12)","110","82(4)"
"","191","145(5)","209","149(7)","245","186(13)","273","192(12)","118","82(4)"
"","191","145(5)","205","149(7)","244","185(12)","267","191(11)","115","82(4)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","108","93(19)","115","95(20)","139","112(33)","146","116(35)","59","52(6)"
"","112","91(21)","121","94(22)","151","107(38)","155","111(40)","58","51(6)"
"","115","90(23)","123","92(24)","156","103(42)","165","107(44)","58","50(6)"
"","110","91(21)","121","93(22)","159","101(43)","161","105(45)","60","49(8)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","88","78(8)","81","79(8)","102","97(10)","108","101(11)","50","43(3)"
"","89","77(8)","82","78(8)","112","94(17)","116","98(18)","49","41(2)"
"","94","75(13)","90","76(14)","123","91(23)","119","94(24)","48","40(3)"
"","90","76(11)","86","77(11)","119","92(21)","119","95(22)","47","40(2)"
