"","x.m[, posi]V11","","x.m[, posi]V12","","x.m[, posi]V31","","x.m[, posi]V32","","x.m[, posi]V6",""
"r0.400","126","133(4)","144","137(5)","172","167(8)","198","172(8)","69","67(3)"
"","60","146(6)","47","151(7)","0","192(13)","0","198(12)","99","82(4)"
"","60","146(6)","47","151(7)","0","192(13)","0","198(12)","99","82(4)"
"","0","146(6)","0","151(7)","0","192(13)","0","198(12)","100","82(4)"
"","72","146(6)","81","151(7)","0","192(13)","0","198(12)","102","82(4)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.800","84","93(2)","101","96(2)","106","117(4)","116","121(4)","43","46(1)"
"","126","13(33)","138","13(34)","84","4(22)","77","4(23)","95","24(25)"
"","126","13(33)","138","13(34)","71","2(18)","72","3(19)","95","24(25)"
"","119","12(32)","137","12(33)","0","0(0)","0","0(0)","95","24(25)"
"","122","12(32)","134","12(33)","53","1(12)","45","1(13)","96","23(25)"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r0.1200","80","76(1)","74","77(1)","98","95(3)","98","98(3)","39","38(1)"
"","157","25(37)","150","25(37)","109","5(22)","105","5(23)","73","34(16)"
"","159","28(38)","153","28(39)","109","5(22)","105","5(23)","74","34(16)"
"","148","20(35)","144","20(35)","107","5(22)","103","5(23)","71","33(16)"
"","151","21(35)","144","22(36)","92","4(20)","91","4(20)","80","31(18)"
