"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","50%","53%","36%","39%","53%","18%","19%","13%","14%","7%"
"","52%","53%","38%","41%","52%","18%","19%","14%","14%","7%"
"","23%","23%","11%","9%","46%","1%","1%","0%","0%","5%"
"","51%","53%","35%","37%","53%","11%","14%","8%","9%","6%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","45%","57%","37%","39%","43%","6%","8%","1%","4%","0%"
"","50%","57%","36%","40%","62%","6%","8%","1%","3%","2%"
"","54%","60%","37%","41%","63%","8%","10%","2%","3%","3%"
"","58%","65%","40%","41%","57%","6%","7%","2%","3%","1%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","53%","52%","31%","33%","48%","2%","1%","0%","0%","1%"
"","61%","66%","30%","33%","76%","2%","1%","0%","1%","3%"
"","64%","68%","37%","37%","77%","4%","4%","1%","1%","3%"
"","64%","70%","46%","44%","66%","2%","2%","0%","1%","1%"
