"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","67%","70%","59%","60%","69%","29%","36%","26%","26%","19%"
"","57%","57%","47%","48%","56%","22%","24%","20%","23%","11%"
"","50%","51%","39%","39%","56%","18%","21%","15%","15%","13%"
"","57%","59%","51%","50%","59%","15%","19%","12%","12%","13%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","81%","84%","77%","73%","71%","31%","29%","25%","26%","14%"
"","79%","76%","70%","72%","86%","29%","22%","21%","22%","16%"
"","83%","79%","76%","76%","84%","30%","26%","21%","22%","18%"
"","81%","80%","80%","81%","76%","26%","25%","22%","24%","14%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","77%","83%","74%","77%","79%","22%","18%","13%","11%","5%"
"","86%","86%","73%","74%","88%","26%","21%","16%","13%","13%"
"","84%","87%","77%","79%","88%","22%","21%","16%","16%","12%"
"","80%","84%","77%","79%","84%","26%","22%","17%","15%","8%"
