"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","1%","1%","0%","0%","13%","1%","1%","0%","0%","2%"
"","1%","1%","0%","0%","13%","1%","1%","0%","0%","2%"
"","0%","0%","0%","0%","13%","0%","0%","0%","0%","2%"
"","2%","2%","0%","0%","12%","1%","1%","0%","0%","1%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","2%","4%","0%","0%","7%","0%","0%","0%","0%","0%"
"","2%","4%","0%","0%","9%","0%","0%","0%","0%","0%"
"","2%","3%","0%","0%","9%","0%","0%","0%","0%","0%"
"","2%","5%","0%","0%","8%","0%","0%","0%","0%","0%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","1%","3%","0%","0%","3%","0%","0%","0%","0%","0%"
"","2%","3%","1%","0%","8%","0%","0%","0%","0%","0%"
"","2%","3%","0%","0%","7%","0%","0%","0%","0%","0%"
"","3%","3%","0%","0%","6%","0%","0%","0%","0%","0%"
