"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","87%","88%","92%","91%","94%","60%","67%","63%","83%","42%"
"","88%","88%","92%","95%","91%","52%","58%","60%","82%","37%"
"","78%","82%","89%","94%","91%","38%","50%","62%","86%","33%"
"","88%","88%","91%","93%","91%","43%","51%","60%","86%","27%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","96%","93%","99%","96%","92%","48%","48%","44%","42%","20%"
"","93%","90%","99%","96%","95%","45%","48%","40%","42%","20%"
"","93%","90%","98%","95%","94%","44%","47%","38%","37%","19%"
"","95%","92%","98%","95%","95%","45%","48%","44%","41%","20%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","97%","97%","96%","93%","91%","31%","23%","24%","21%","15%"
"","97%","96%","96%","93%","87%","31%","25%","23%","21%","14%"
"","96%","95%","94%","93%","86%","31%","25%","23%","20%","15%"
"","96%","94%","95%","93%","90%","32%","25%","22%","20%","12%"
