"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","58%","60%","40%","39%","74%","22%","25%","14%","15%","20%"
"","57%","59%","40%","40%","75%","21%","25%","15%","15%","19%"
"","21%","23%","10%","8%","69%","1%","1%","0%","0%","14%"
"","53%","55%","36%","35%","70%","13%","16%","9%","9%","12%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","86%","83%","71%","70%","90%","31%","37%","17%","18%","16%"
"","84%","82%","71%","69%","90%","32%","36%","16%","17%","16%"
"","79%","77%","66%","64%","90%","29%","31%","11%","13%","14%"
"","82%","80%","64%","62%","92%","21%","22%","10%","11%","12%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","94%","91%","81%","82%","87%","40%","37%","16%","15%","10%"
"","94%","91%","81%","82%","85%","39%","37%","15%","14%","10%"
"","93%","90%","78%","79%","87%","37%","34%","12%","13%","10%"
"","94%","91%","79%","80%","90%","26%","22%","8%","7%","11%"
