"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","68%","68%","58%","58%","81%","34%","40%","24%","26%","29%"
"","60%","60%","46%","46%","75%","26%","30%","20%","22%","22%"
"","51%","53%","40%","38%","64%","20%","24%","15%","15%","18%"
"","59%","60%","49%","48%","70%","16%","20%","12%","12%","18%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","91%","90%","92%","89%","93%","42%","45%","40%","39%","21%"
"","89%","87%","89%","87%","96%","41%","43%","31%","34%","21%"
"","91%","86%","86%","83%","94%","38%","44%","32%","31%","19%"
"","92%","87%","85%","84%","95%","32%","32%","29%","30%","20%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","97%","95%","93%","93%","88%","31%","24%","24%","22%","15%"
"","95%","95%","92%","91%","89%","30%","24%","22%","18%","13%"
"","94%","92%","89%","92%","83%","30%","26%","20%","19%","14%"
"","95%","92%","90%","91%","88%","30%","23%","22%","21%","14%"
