"","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6","x.m[, posi]V11","x.m[, posi]V12","x.m[, posi]V31","x.m[, posi]V32","x.m[, posi]V6"
"tmp2.400","95%","96%","93%","91%","93%","86%","85%","79%","86%","64%"
"","0%","1%","0%","0%","21%","1%","1%","0%","0%","4%"
"","0%","1%","0%","0%","21%","1%","1%","0%","0%","4%"
"","0%","0%","0%","0%","21%","0%","0%","0%","0%","4%"
"","1%","1%","0%","0%","19%","1%","1%","0%","0%","3%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.800","96%","92%","100%","97%","98%","79%","76%","69%","69%","23%"
"","12%","11%","3%","3%","48%","1%","1%","0%","0%","2%"
"","12%","11%","2%","2%","48%","1%","1%","0%","0%","2%"
"","11%","10%","0%","0%","48%","1%","1%","0%","0%","1%"
"","11%","10%","1%","1%","45%","1%","1%","0%","0%","1%"
"line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tmp2.1200","98%","95%","92%","95%","91%","64%","63%","48%","56%","14%"
"","31%","30%","4%","5%","82%","0%","0%","0%","0%","5%"
"","35%","34%","4%","5%","82%","0%","0%","0%","0%","5%"
"","25%","24%","4%","5%","82%","0%","0%","0%","0%","5%"
"","27%","26%","4%","4%","76%","0%","0%","0%","0%","5%"
