n,method,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS,BIAS
400,MLE,-3,11,-3,-16,5,-209,-206,260,249,-144
,GLASSO,-128,-113,157,148,-69,-241,-233,298,288,-170
,GSCAD,-84,-66,121,107,-23,-244,-236,307,297,-166
,GMCP,-84,-66,121,107,-23,-244,-236,307,297,-166
,AGLASSO,-96,-81,123,113,-47,-247,-238,304,293,-171
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,MLE,-6,8,3,15,-7,-3,11,-3,-16,5
,GLASSO,-92,-79,122,128,-56,-225,-223,286,289,-166
,GSCAD,-34,-19,65,70,-13,-238,-237,305,306,-167
,GMCP,-36,-21,68,72,-14,-236,-237,304,304,-166
,AGLASSO,-55,-40,81,87,-33,-235,-234,296,299,-170
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,MLE,-5,-5,18,13,-4,-204,-211,268,272,-144
,GLASSO,-74,-73,110,111,-42,-218,-225,291,294,-161
,GSCAD,-18,-17,50,50,-5,-236,-244,319,319,-162
,GMCP,-20,-19,53,53,-6,-234,-242,318,318,-161
,AGLASSO,-40,-39,71,71,-20,-228,-236,310,311,-164
